# created from stats.mat file and x.mat file
# link to original paper: https://doi.org/10.1007/s00348-023-03577-z
2,1
x-coordinate,y-coordinate,mean u-velocity
metre,metre,metre/sec
x,y,U_mean
-0.07113929073472,0.0766297663398862,-0.525729457797652
-0.07113929073472,0.0758039558981214,-0.525491976895845
-0.07113929073472,0.0749781454563567,-0.525293489845351
-0.07113929073472,0.074152335014592,-0.525236251164524
-0.07113929073472,0.0733265245728272,-0.525122519098193
-0.07113929073472,0.0725007141310625,-0.525028075274828
-0.07113929073472,0.0716749036892978,-0.524791041550214
-0.07113929073472,0.070849093247533,-0.524553351965717
-0.07113929073472,0.0700232828057683,-0.524304840693125
-0.07113929073472,0.0691974723640036,-0.524016202720328
-0.07113929073472,0.0683716619222388,-0.523686007080306
-0.07113929073472,0.0675458514804741,-0.522962176262344
-0.07113929073472,0.0667200410387094,-0.522270601825974
-0.07113929073472,0.0658942305969446,-0.521557413825228
-0.07113929073472,0.0650684201551799,-0.520589454071176
-0.07113929073472,0.0642426097134152,-0.51958891000559
-0.07113929073472,0.0634167992716504,-0.518408123719024
-0.07113929073472,0.0625909888298857,-0.517564777343022
-0.07113929073472,0.061765178388121,-0.516356683435812
-0.07113929073472,0.0609393679463562,-0.514926253027762
-0.07113929073472,0.0601135575045915,-0.513347419414943
-0.07113929073472,0.0592877470628268,-0.511300182597354
-0.07113929073472,0.058461936621062,-0.509217439910565
-0.07113929073472,0.0576361261792973,-0.507550810508664
-0.07113929073472,0.0568103157375325,-0.505573392956959
-0.07113929073472,0.0559845052957678,-0.503908105086641
-0.07113929073472,0.0551586948540031,-0.50230047326253
-0.07113929073472,0.0543328844122383,-0.500388790758338
-0.07113929073472,0.0535070739704736,-0.498254861188746
-0.07113929073472,0.0526812635287089,-0.494830348425564
-0.07113929073472,0.0518554530869441,-0.490841229737283
-0.07113929073472,0.0510296426451794,-0.487052267561021
-0.07113929073472,0.0502038322034147,-0.483907687721259
-0.07113929073472,0.0493780217616499,-0.479830177007639
-0.07113929073472,0.0485522113198852,-0.476115416433762
-0.07113929073472,0.0477264008781205,-0.471831130985653
-0.07113929073472,0.0469005904363557,-0.466715930687535
-0.07113929073472,0.046074779994591,-0.46087877771567
-0.07113929073472,0.0452489695528263,-0.455485582261971
-0.07113929073472,0.0444231591110615,-0.449240514253773
-0.07113929073472,0.0435973486692968,-0.444173012856344
-0.07113929073472,0.0427715382275321,-0.438758561580026
-0.07113929073472,0.0419457277857673,-0.432810240357742
-0.07113929073472,0.0411199173440026,-0.42507183901621
-0.07113929073472,0.0402941069022379,-0.415450314887274
-0.07113929073472,0.0394682964604731,-0.405443950065213
-0.07113929073472,0.0386424860187084,-0.397318323085523
-0.07113929073472,0.0378166755769437,-0.391019236072294
-0.07113929073472,0.0369908651351789,-0.38435778647289
-0.07113929073472,0.0361650546934142,-0.377051000558972
-0.07113929073472,0.0353392442516495,-0.370075483510341
-0.07113929073472,0.0345134338098847,-0.360070996832495
-0.07113929073472,0.03368762336812,-0.347959053474939
-0.07113929073472,0.0328618129263552,-0.33709309483883
-0.07113929073472,0.0320360024845905,-0.327408131171977
-0.07113929073472,0.0312101920428258,-0.318071429103782
-0.07113929073472,0.030384381601061,-0.31011534190423
-0.07113929073472,0.0295585711592963,-0.301503812185579
-0.07113929073472,0.0287327607175316,-0.292947762250792
-0.07113929073472,0.0279069502757668,-0.281201788708776
-0.07113929073472,0.0270811398340021,-0.270584788522452
-0.07113929073472,0.0262553293922374,-0.259703178684554
-0.07113929073472,0.0254295189504726,-0.249184348798211
-0.07113929073472,0.0246037085087079,-0.239678554127073
-0.07113929073472,0.0237778980669432,-0.230084814607788
-0.07113929073472,0.0229520876251784,-0.220795722004844
-0.07113929073472,0.0221262771834137,-0.210304468045463
-0.07113929073472,0.021300466741649,-0.200092938326812
-0.07113929073472,0.0204746562998842,-0.190398226197131
-0.07113929073472,0.0196488458581195,-0.180910646543693
-0.07113929073472,0.0188230354163548,-0.172195997764114
-0.07113929073472,0.01799722497459,-0.164463558785169
-0.07113929073472,0.0171714145328253,-0.155774220234768
-0.07113929073472,0.0163456040910606,-0.147250009316192
-0.07113929073472,0.0155197936492958,-0.137582157629961
-0.07113929073472,0.0146939832075311,-0.127324240730389
-0.07113929073472,0.0138681727657663,-0.118600797465996
-0.07113929073472,0.0130423623240016,-0.109969055338178
-0.07113929073472,0.0122165518822369,-0.101846558598845
-0.07113929073472,0.0113907414404721,-0.0951371716042483
-0.07113929073472,0.0105649309987074,-0.0888105086640581
-0.07113929073472,0.00973912055694268,-0.0819035885969816
-0.07113929073472,0.00891331011517794,-0.0733247922489286
-0.07113929073472,0.00808749967341321,-0.0662926029439166
-0.07113929073472,0.00726168923164847,-0.060199932923421
-0.07113929073472,0.00643587878988373,-0.0552184087944848
-0.07113929073472,0.005610068348119,-0.0494930501211105
-0.07113929073472,0.00478425790635427,-0.0440443152599218
-0.07113929073472,0.00395844746458953,-0.0384486379727968
-0.07113929073472,0.0031326370228248,-0.0343059884479225
-0.07113929073472,0.00230682658106007,-0.0295017253586733
-0.07113929073472,0.00148101613929533,-0.0255838569032979
-0.07113929073472,0.00065520569753059,-0.0219432979318055
-0.07113929073472,-0.00017060474423414,-0.0199670728526179
-0.07113929073472,-0.00099641518599887,-0.0185149692565679
-0.07113929073472,-0.00182222562776361,-0.0152921035960499
